Participant, Trial.Number, Trial.Accuracy, Trial.Type, Frames to Target, Frames to Distractor,
B05ET,Trial 1,1,baseline_1,26,0,
B05ET,Trial 2,0.826086957,baseline_2,19,4,
B05ET,Trial 3,0.75,quiet_stroller,18,6,
B05ET,Trial 4,0.318181818,noise_hand,7,15,
B05ET,Trial 5,0.294117647,quiet_hand,5,12,
B05ET,Trial 6,0.793103448,quiet_car,23,6,
B05ET,Trial 7,0.681818182,noise_foot,15,7,
B05ET,Trial 8,0.32,noise_stroller,8,17,
B05ET,Trial 9,0,noise_car,0,24,
B05ET,Trial 10,0.7,quiet_foot,14,6,
B05ET,Trial 11,1,baseline_3,24,0,
B05ET,Trial 12,0,baseline_4,0,24,
B05ET,Trial 13,0.636363636,quiet_ojo,14,8,
B05ET,Trial 14,0.75,noise_perro,15,5,
B05ET,Trial 15,1,noise_nariz,22,0,
B05ET,Trial 16,0.407407407,quiet_perro,11,16,
B05ET,Trial 17,1,quiet_nariz,25,0,
B05ET,Trial 18,0.173913043,noise_ojo,4,19,
B05ET,Trial 19,0.269230769,quiet_leche,7,19,
B05ET,Trial 20,0,noise_leche,0,26,
,,,,,,
B08RJ,Trial 1,0.466666667,baseline_1,14,16,
B08RJ,Trial 2,0.657142857,baseline_2,23,12,
B08RJ,Trial 14,1,quiet_stroller,25,0,
B08RJ,Trial 16,0,noise_hand,0,29,
B08RJ,Trial 20,0,quiet_hand,0,29,
B08RJ,Trial 19,0.777777778,quiet_car,21,6,
B08RJ,Trial 18,0.269230769,noise_foot,7,19,
B08RJ,Trial 17,0.892857143,noise_stroller,25,3,
B08RJ,Trial 13,0.625,noise_car,15,9,
B08RJ,Trial 15,1,quiet_foot,28,0,
B08RJ,Trial 11,1,baseline_3,27,0,
B08RJ,Trial 12,0.088235294,baseline_4,3,31,
B08RJ,Trial 3,0.206896552,quiet_ojo,6,23,
B08RJ,Trial 4,0.933333333,noise_perro,28,2,
B08RJ,Trial 5,0.433333333,noise_nariz,13,17,
B08RJ,Trial 6,1,quiet_perro,29,0,
B08RJ,Trial 7,1,quiet_nariz,29,0,
B08RJ,Trial 8,0,noise_ojo,0,24,
B08RJ,Trial 9,0,quiet_leche,0,30,
B08RJ,Trial 10,0.620689655,noise_leche,18,11,
,,,,,,
B09AW,Trial 1,0,baseline_1,0,27,
B09AW,Trial 2,0,baseline_2,0,28,
B09AW,Trial 4,1,quiet_stroller,29,0,
B09AW,Trial 6,0,noise_hand,0,28,
B09AW,Trial 10,1,quiet_hand,27,0,
B09AW,Trial 9,1,quiet_car,27,0,
B09AW,Trial 8,0,noise_foot,0,28,
B09AW,Trial 7,1,noise_stroller,28,0,
B09AW,Trial 3,0,noise_car,0,28,
B09AW,Trial 5,0,quiet_foot,0,28,
B09AW,Trial 11,0,baseline_3,0,26,
B09AW,Trial 12,0.379310345,baseline_4,11,18,
B09AW,Trial 16,0.518518519,quiet_ojo,14,13,
B09AW,Trial 14,0.551724138,noise_perro,16,13,
B09AW,Trial 15,0.740740741,noise_nariz,20,7,
B09AW,Trial 19,0,quiet_perro,0,30,
B09AW,Trial 13,1,quiet_nariz,29,0,
B09AW,Trial 17,1,noise_ojo,7,0,DROPPED
B09AW,Trial 18,0.24,quiet_leche,6,19,
B09AW,Trial 20,0.571428571,noise_leche,16,12,
,,,,,,
B10KG,Trial 1,0.517241379,baseline_1,15,14,
B10KG,Trial 2,0.481481481,baseline_2,13,14,
B10KG,Trial 14,1,quiet_stroller,29,0,
B10KG,Trial 16,0.382352941,noise_hand,13,21,
B10KG,Trial 20,0,quiet_hand,0,30,
B10KG,Trial 19,1,quiet_car,23,0,
B10KG,Trial 18,0,noise_foot,0,25,
B10KG,Trial 17,1,noise_stroller,32,0,
B10KG,Trial 13,1,noise_car,18,0,
B10KG,Trial 15,0.642857143,quiet_foot,18,10,
B10KG,Trial 11,0,baseline_3,0,29,
B10KG,Trial 12,0,baseline_4,0,26,
B10KG,Trial 3,1,quiet_ojo,26,0,
B10KG,Trial 4,0,noise_perro,0,26,
B10KG,Trial 5,0.266666667,noise_nariz,8,22,
B10KG,Trial 6,0,quiet_perro,0,16,
B10KG,Trial 7,0.269230769,quiet_nariz,7,19,
B10KG,Trial 8,1,noise_ojo,27,0,
B10KG,Trial 9,0.655172414,quiet_leche,19,10,
B10KG,Trial 10,0.5,noise_leche,18,18,
,,,,,,
B11ARF,Trial 1,0.5,baseline_1,8,8,
B11ARF,Trial 2,0.454545455,baseline_2,10,12,
B11ARF,Trial 14,0.448275862,quiet_stroller,13,16,
B11ARF,Trial 16,1,noise_hand,29,0,
B11ARF,Trial 20,1,quiet_hand,29,0,
B11ARF,Trial 19,0,quiet_car,0,28,
B11ARF,Trial 18,1,noise_foot,30,0,
B11ARF,Trial 17,0,noise_stroller,0,27,
B11ARF,Trial 13,0,noise_car,0,27,
B11ARF,Trial 15,1,quiet_foot,30,0,
B11ARF,Trial 11,1,baseline_3,26,0,
B11ARF,Trial 12,1,baseline_4,26,0,
