Participant, Trial.Number, Trial.Accuracy, Trial.Type, Frames to Target, Frames to Distractor,
B05ET,Trial 1,0.052631579,baseline_1,6,108,
B05ET,Trial 2,0.49122807,baseline_2,56,58,
B05ET,Trial 3,0.543103448,quiet_stroller,63,53,
B05ET,Trial 4,0.435897436,noise_hand,51,66,
B05ET,Trial 5,0.932773109,quiet_hand,111,8,
B05ET,Trial 6,0.159292035,quiet_car,18,95,
B05ET,Trial 7,0.666666667,noise_foot,78,39,
B05ET,Trial 8,0.093220339,noise_stroller,11,107,
B05ET,Trial 9,0.285714286,noise_car,18,45,
B05ET,Trial 10,0.808510638,quiet_foot,76,18,
B05ET,Trial 11,0.561403509,baseline_3,64,50,
B05ET,Trial 12,0.639175258,baseline_4,62,35,
B05ET,Trial 13,0.652173913,quiet_ojo,45,24,
B05ET,Trial 14,0.369047619,noise_perro,31,53,
B05ET,Trial 15,0.745614035,noise_nariz,85,29,
B05ET,Trial 16,NaN,quiet_perro,0,0,DROPPED
B05ET,Trial 17,1,quiet_nariz,120,0,
B05ET,Trial 18,0.754716981,noise_ojo,40,13,
B05ET,Trial 19,0,quiet_leche,0,120,
B05ET,Trial 20,0.268907563,noise_leche,32,87,
,,,,,,
B08RJ,Trial 1,0.625,baseline_1,60,36,
B08RJ,Trial 2,0.927536232,baseline_2,64,5,
B08RJ,Trial 14,1,quiet_stroller,58,0,
B08RJ,Trial 16,0.252173913,noise_hand,29,86,
B08RJ,Trial 20,0.559322034,quiet_hand,66,52,
B08RJ,Trial 19,0.709401709,quiet_car,83,34,
B08RJ,Trial 18,0,noise_foot,0,55,
B08RJ,Trial 17,0.811965812,noise_stroller,95,22,
B08RJ,Trial 13,0.641025641,noise_car,25,14,
B08RJ,Trial 15,0.814285714,quiet_foot,57,13,
B08RJ,Trial 11,0.682926829,baseline_3,56,26,
B08RJ,Trial 12,0.011494253,baseline_4,1,86,
B08RJ,Trial 3,0.444444444,quiet_ojo,32,40,
B08RJ,Trial 4,0.453333333,noise_perro,34,41,
B08RJ,Trial 5,0.328358209,noise_nariz,22,45,
B08RJ,Trial 6,0.722222222,quiet_perro,52,20,
B08RJ,Trial 7,0.69047619,quiet_nariz,29,13,
B08RJ,Trial 8,0.875,noise_ojo,21,3,
B08RJ,Trial 9,0.78313253,quiet_leche,65,18,
B08RJ,Trial 10,0,noise_leche,0,16,
,,,,,,
B09AW,Trial 1,0.052173913,baseline_1,6,109,
B09AW,Trial 2,0.198019802,baseline_2,20,81,
B09AW,Trial 4,0.884615385,quiet_stroller,92,12,
B09AW,Trial 6,0.844827586,noise_hand,49,9,
B09AW,Trial 10,0,quiet_hand,0,16,
B09AW,Trial 9,0.756302521,quiet_car,90,29,
B09AW,Trial 8,0,noise_foot,0,28,
B09AW,Trial 7,1,noise_stroller,48,0,
B09AW,Trial 3,1,noise_car,40,0,
B09AW,Trial 5,0,quiet_foot,0,32,
B09AW,Trial 11,0,baseline_3,0,92,
B09AW,Trial 12,0.666666667,baseline_4,74,37,
B09AW,Trial 16,0.663265306,quiet_ojo,65,33,
B09AW,Trial 14,0.194915254,noise_perro,23,95,
B09AW,Trial 15,1,noise_nariz,65,0,
B09AW,Trial 19,0,quiet_perro,0,41,
B09AW,Trial 13,0.527272727,quiet_nariz,58,52,
B09AW,Trial 17,0.5,noise_ojo,18,18,
B09AW,Trial 18,0,quiet_leche,0,25,
B09AW,Trial 20,0.78125,noise_leche,50,14,
,,,,,,
B10KG,Trial 1,0.470588235,baseline_1,40,45,
B10KG,Trial 2,0.509803922,baseline_2,26,25,
B10KG,Trial 14,0.762376238,quiet_stroller,77,24,
B10KG,Trial 16,1,noise_hand,4,0,DROPPED
B10KG,Trial 20,0.211764706,quiet_hand,18,67,
B10KG,Trial 19,0.919354839,quiet_car,57,5,
B10KG,Trial 18,0.11627907,noise_foot,10,76,
B10KG,Trial 17,0.873684211,noise_stroller,83,12,
B10KG,Trial 13,0.489795918,noise_car,24,25,
B10KG,Trial 15,0,quiet_foot,0,54,
B10KG,Trial 11,0.576470588,baseline_3,49,36,
B10KG,Trial 12,0.381818182,baseline_4,21,34,
B10KG,Trial 3,0.524590164,quiet_ojo,32,29,
B10KG,Trial 4,0.202702703,noise_perro,15,59,
B10KG,Trial 5,0.25,noise_nariz,19,57,
B10KG,Trial 6,0.307692308,quiet_perro,16,36,
B10KG,Trial 7,0.3,quiet_nariz,15,35,
B10KG,Trial 8,0.662790698,noise_ojo,57,29,
B10KG,Trial 9,1,quiet_leche,41,0,
B10KG,Trial 10,0,noise_leche,0,11,DROPPED
,,,,,,
B11ARF,Trial 1,0.779816514,baseline_1,85,24,
B11ARF,Trial 2,0.390243902,baseline_2,16,25,
B11ARF,Trial 14,0.392523364,quiet_stroller,42,65,
B11ARF,Trial 16,0.25,noise_hand,23,69,
B11ARF,Trial 20,0.571428571,quiet_hand,24,18,
B11ARF,Trial 19,0.783018868,quiet_car,83,23,
B11ARF,Trial 18,1,noise_foot,43,0,
B11ARF,Trial 17,0.07079646,noise_stroller,8,105,
B11ARF,Trial 13,0.468468468,noise_car,52,59,
B11ARF,Trial 15,1,quiet_foot,43,0,
B11ARF,Trial 11,0.913793103,baseline_3,53,5,
B11ARF,Trial 12,0.447368421,baseline_4,34,42,
B11ARF,Trial 3,0,quiet_ojo,0,17,
B11ARF,Trial 4,0.413043478,noise_perro,38,54,
B11ARF,Trial 5,0.727272727,noise_nariz,80,30,
B11ARF,Trial 6,0.794642857,quiet_perro,89,23,
B11ARF,Trial 7,0.818965517,quiet_nariz,95,21,
B11ARF,Trial 8,1,noise_ojo,40,0,
B11ARF,Trial 9,0.3,quiet_leche,15,35,
B11ARF,Trial 10,0,noise_leche,0,30,
,,,,,,
B12KRM,Trial 1,0.147058824,baseline_1,15,87,
B12KRM,Trial 2,0.068376068,baseline_2,8,109,
B12KRM,Trial 13,0.598130841,quiet_stroller,64,43,
B12KRM,Trial 14,0.47826087,noise_hand,44,48,
B12KRM,Trial 15,0.32173913,quiet_hand,37,78,
B12KRM,Trial 16,1,quiet_car,120,0,
B12KRM,Trial 17,0.109589041,noise_foot,8,65,
B12KRM,Trial 18,0.545454545,noise_stroller,42,35,
B12KRM,Trial 19,0.486956522,noise_car,56,59,
B12KRM,Trial 20,0.225490196,quiet_foot,23,79,
B12KRM,Trial 11,0.716814159,baseline_3,81,32,
B12KRM,Trial 12,0.276315789,baseline_4,21,55,
B12KRM,Trial 6,0.678899083,quiet_ojo,74,35,
