Participant,awc,ct,awc_avg,ct_avg,noise_sum,meaningful,tv,overlap,noise,distant,silence
M01EB,29334,269,5866.8,53.8,14.2,37.6,1.8,10,2.4,7.4,37.6
M02SM,33354,1167,5559,194.5,13.8,25.7,0,12.5,1.3,13.3,44.8
M03CW,39784,211,13261.33333,70.33333333,16.3,30.3,2.7,6,7.7,10.3,40
M04LM,23272,581,11636,290.5,34,29,1,22,11,11.5,23
M06HL,27757,651,13878.5,325.5,24.5,19,1.5,7,16,11.5,41.5
M07CR,21454,283,10727,141.5,11.5,11.5,4,1.5,6,4.5,69.5
M11BLP,32583,791,16291.5,395.5,28.5,22.5,3.5,23.5,1.5,12,34.5
M12RO,19783,218,12080.5,252.5,23.3,19.83333333,2.166666667,10.16666667,11,9.166666667,44.66666667
M13CY,17912,393,5970.666667,131,19.3,15,10.7,8.3,0.3,12.3,49.7
M14VL,22225,426,11112.5,213,32,21,9.5,21.5,1,12.5,31
M15OW,12796,231,12796,231,43,19,1,13,29,12,24
M16SL,26108,504,13054,252,27.5,17.5,3.5,20.5,3.5,12,40.5
M17EW,38918,836,19459,418,32,24,2.5,9.5,20,11.5,30
M18GW,25999,586,6499.75,146.5,23.3,27.8,1.8,19.3,2.3,13.8,32.5
M19LB,6606,102,3065.4,29.4,31.6,14.6,15.2,9.2,7.2,6.8,107.4
M20NS,15110,381,3777.5,95.25,23.3,13.3,10.8,6.5,6,20.3,40.5
M21SB,10676,488,10676,488,12,18,0,8,4,6,62
M22AS,31464,1122,10488,374,27.7,26.7,9,17,1.7,11.3,31.3
M23AK,49754,1244,16584.66667,414.6666667,13.7,31,2,9.3,2.3,8,44.3
M24JB,3281,37,3281,37,37,21,18,11,8,2,12
M25AJ,6895,57,3447.5,28.5,22,13.5,4.5,16,1.5,33.5,28
M26JJ,7583,73,2527.666667,24.33333333,29,15.3,10,17,2,25.7,27.7
M27ZD,15577,473,7788.5,236.5,12,21,0,11,1,14,50.5
M28PR,31305,950,4472.142857,135.7142857,15.9,26.3,2.1,10.6,3.1,17.9,37
M30PM,28921,1154,14460.5,577,14.5,29.5,2.5,10,2,14,39.5
M31RK,40134,1085,13378,361.6666667,17.7,33.3,0.3,9.3,8,11.3,35
M35KR,38906,709,9726.5,177.25,31.3,23.8,2.5,28,0.8,18.3,23.5
M36EW,29196,626,14598,313,18,16.5,8.5,7.5,2,8.5,54
M37JD,21675,350,5418.75,87.5,24.5,21.25,12.75,6.75,5,9.75,40.5
M40CW,26239,383,3748.428571,54.71428571,12.7,33.42857143,0,12.71428571,0,16.28571429,35.57142857
M41GG,33848,1039,16924,519.5,14.5,17.5,6,7,1.5,8.5,56
M42RM,25484,557,8494.666667,185.6666667,15.3,20,1.3,12,2,13.66666667,48.3
M44GW,35341,1609,5048.714286,229.8571429,14.1,33.7,2.1,10.3,1.7,5,44.6
M45DA,27093,315,6773.25,78.75,21.5,22.75,5.25,10.75,5.5,13.25,40.25
B01AM,3320,38,1660,19,47.5,18,13,32,2.5,10.5,21
B02JP,14043,183,7021.5,91.5,47,10,38.5,7.5,1,4.5,36.5
B03BS,19348,578,9674,289,21.5,12.5,6.5,12,3,11,51
B05ET,10765,206,3588.333333,68.66666667,33.3,10,16.33333333,13.33333333,3.666666667,8.666666667,44.66666667
B08RJ,4207,57,1402.333333,19,43.7,7.7,33.7,6,4,7.7,38.3
B09AW,17673,578,17673,578,37,22,3,30,4,9,28
B11ARF,13784,724,4594.666667,241.3333333,18,21.66666667,0.333333333,13,4.666666667,14,44
B12KRM ,2541,288,2541,288,23,2,5,5,13,2,70
B14I,22320,558,11160,279,41.5,16.5,9.5,29.5,2.5,7.5,31
B15NC,14074,153,14074,153,24,18,3,18,3,17,38
B16LR,1540,228,1540,228,14,8,5,7,2,8,67
B18LS,14425,247,7212.5,123.5,57.5,17.5,26,30.5,1,7,14.5
B19CB,17838,579,17838,579,30,25,7,21,2,14,29
B20AP,26663,1531,4443.833333,255.1666667,19.5,19.3,11.5,7.7,0.333333333,7.7,50.7
B21HM,12601,415,3150.25,103.75,16,12.25,11.25,3,1.75,6.25,63.25
B27KDS,4600,269,2300,134.5,22,17.5,6.5,13.5,2,10,47.5
B25ELM,6760,22,1690,5.5,50.3,7,45.75,4,0.5,4,35.5
B33KLH,36843,901,36843,901,24,33,0,23,1,11,28
B30MR,1197,31,1197,31,27,15,21,5,1,9,46
M01EB_V2,13624,119,3406,29.75,14,26.3,1.3,10,2.8,5.5,51.8
M02SM_V2,22784,937,22784,937,15,24,3,8,4,9,49
M04LM_V2,92683,1118,15447.16667,186.3333333,34.3,34,9,25.2,0.2,9.5,17.7
M06HL_V2,25539,740,5107.8,148,26.4,22.4,3.6,20.6,2.2,17.8,30.8
M07CR_V2,38504,311,19252,155.5,34.5,20,13,18.5,3,6.5,36.5
M12RO_V2,19506,584,9753,292,16,14.5,5,8.5,2.5,7.5,59.5
M13CY_V2,49353,1511,12338.25,377.75,27.3,36.5,10.3,15.3,1.8,7,27
M15OW_V2,19455,1153,4863.75,288.25,25,37,1.25,21.5,2.25,9.5,26.25
M17EW_V2,37463,1648,9365.75,412,15.5,30.25,3,11.5,1,14.5,37.5
M20NS_V2,20402,438,10201,219,34.5,18,13,20,1.5,17.5,28
M21SB_V2,2855,140,951.6666667,46.66666667,13.7,21.3,0,11.7,2,7.3,55
M22AS_V2,26098,935,26098,935,29,26,9,18,2,14,29
M23AK_V2,"77,272",2264,"15,454",452.8,12.8,40.4,1.2,7,4.6,4.6,39.4
M27ZD_V2,37838,1110,18919,555,19,23,0,16,3,8,46.5
M28PR_V2,18669,967,"13,176",413.3666667,22.5,26.4,5.8,14.2,2.5,10.9,37.9
B05ET_V2,9828,145,2457,36.25,41.8,12.3,9.3,16.5,16,6.3,36.5
B11ARF_V2,"17,067",401,2844.5,66.83333333,22.7,15.83333333,5.666666667,13.33333333,3.666666667,20.5,38.16666667
