Participant, Trial.Number, Trial.Accuracy, Trial.Type, Frames to Target, Frames to Distractor,
M01EB,Trial 1,0,baseline_1,0,26,
M01EB,Trial 2,1,baseline_2,29,0,
M01EB,Trial 3,1,quiet_stroller,29,0,
M01EB,Trial 4,0.103448276,noise_hand,3,26,
M01EB,Trial 5,0,quiet_hand,0,23,
M01EB,Trial 6,0.3125,quiet_car,10,22,
M01EB,Trial 7,0.724137931,noise_foot,21,8,
M01EB,Trial 8,1,noise_stroller,24,0,
M01EB,Trial 9,0,noise_car,0,29,
M01EB,Trial 10,1,quiet_foot,27,0,
M01EB,Trial 11,0.962962963,baseline_3,26,1,
M01EB,Trial 12,1,baseline_4,28,0,
M01EB,Trial 13,0.321428571,quiet_eye,9,19,
M01EB,Trial 14,0.357142857,noise_eye,10,18,
M01EB,Trial 15,1,noise_nose,29,0,
M01EB,Trial 16,1,quiet_nose,30,0,
M01EB,Trial 17,0,noise_milk,0,31,
M01EB,Trial 18,0.392857143,noise_dog,11,17,
M01EB,Trial 19,0.464285714,quiet_dog,13,15,
M01EB,Trial 20,0.142857143,quiet_milk,5,30,
,,,,,,
M02SM,Trial 1,0.925925926,baseline_1,25,2,
M02SM,Trial 2,0.458333333,baseline_2,11,13,
M02SM,Trial 13,1,quiet_stroller,31,0,
M02SM,Trial 14,0,noise_hand,0,28,
M02SM,Trial 15,0,quiet_hand,0,26,
M02SM,Trial 16,0.696969697,quiet_car,23,10,
M02SM,Trial 17,0,noise_foot,0,32,
M02SM,Trial 18,1,noise_stroller,24,0,
M02SM,Trial 19,0.75862069,noise_car,22,7,
M02SM,Trial 20,0,quiet_foot,0,31,
M02SM,Trial 11,0.78125,baseline_3,25,7,
M02SM,Trial 12,1,baseline_4,27,0,
M02SM,Trial 9,0.615384615,quiet_eye,16,10,
M02SM,Trial 10,1,noise_eye,28,0,
M02SM,Trial 4,0.857142857,noise_nose,18,3,
M02SM,Trial 3,1,quiet_nose,25,0,
M02SM,Trial 7,0.608695652,noise_milk,14,9,
M02SM,Trial 5,0,noise_dog,0,31,
M02SM,Trial 6,0,quiet_dog,0,29,
M02SM,Trial 8,0.461538462,quiet_milk,12,14,
,,,,,,
M06HL,Trial 1,0.6,baseline_1,15,10,
