Participant, Trial.Number, Trial.Accuracy, Trial.Type, Frames to Target, Frames to Distractor,
M01EB,Trial 1,0.47826087,baseline_1,55,60,
M01EB,Trial 2,0.5,baseline_2,52,52,
M01EB,Trial 3,0.598130841,quiet_stroller,64,43,
M01EB,Trial 4,0.159090909,noise_hand,14,74,
M01EB,Trial 5,0.490196078,quiet_hand,25,26,
M01EB,Trial 6,0.946808511,quiet_car,89,5,
M01EB,Trial 7,0.79047619,noise_foot,83,22,
M01EB,Trial 8,1,noise_stroller,94,0,
M01EB,Trial 9,0.317073171,noise_car,13,28,
M01EB,Trial 10,0.41,quiet_foot,41,59,
M01EB,Trial 11,0.356521739,baseline_3,41,74,
M01EB,Trial 12,0.784482759,baseline_4,91,25,
M01EB,Trial 13,0.801724138,quiet_eye,93,23,
M01EB,Trial 14,0.805555556,noise_eye,29,7,
M01EB,Trial 15,0.805825243,noise_nose,83,20,
M01EB,Trial 16,0.798165138,quiet_nose,87,22,
M01EB,Trial 17,0.291666667,noise_milk,21,51,
M01EB,Trial 18,0.941176471,noise_dog,112,7,
M01EB,Trial 19,0.646464646,quiet_dog,64,35,
M01EB,Trial 20,0.229508197,quiet_milk,14,47,
,,,,,,
M02SM,Trial 1,0.482142857,baseline_1,54,58,
M02SM,Trial 2,0.129032258,baseline_2,12,81,
M02SM,Trial 13,0.525252525,quiet_stroller,52,47,
M02SM,Trial 14,0,noise_hand,0,30,
M02SM,Trial 15,0.670454545,quiet_hand,59,29,
M02SM,Trial 16,0.872881356,quiet_car,103,15,
M02SM,Trial 17,0.685185185,noise_foot,37,17,
M02SM,Trial 18,1,noise_stroller,46,0,
M02SM,Trial 19,0.576923077,noise_car,15,11,
M02SM,Trial 20,0.317647059,quiet_foot,27,58,
M02SM,Trial 11,0.414141414,baseline_3,41,58,
M02SM,Trial 12,1,baseline_4,120,0,
M02SM,Trial 9,0.506329114,quiet_eye,40,39,
M02SM,Trial 10,0.155555556,noise_eye,7,38,
M02SM,Trial 4,1,noise_nose,61,0,
M02SM,Trial 3,0.759493671,quiet_nose,60,19,
M02SM,Trial 7,0,noise_milk,0,37,
M02SM,Trial 5,0.618556701,noise_dog,60,37,
M02SM,Trial 6,0.452991453,quiet_dog,53,64,
M02SM,Trial 8,0.316831683,quiet_milk,32,69,
,,,,,,
M06HL,Trial 1,0,baseline_1,0,89,
M06HL,Trial 2,0.460176991,baseline_2,52,61,
M06HL,Trial 13,0.359223301,quiet_stroller,37,66,
M06HL,Trial 14,0.827272727,noise_hand,91,19,
M06HL,Trial 15,1,quiet_hand,34,0,
M06HL,Trial 16,0.075630252,quiet_car,9,110,
M06HL,Trial 17,0.566371681,noise_foot,64,49,
M06HL,Trial 18,0.583333333,noise_stroller,56,40,
M06HL,Trial 19,0.818965517,noise_car,95,21,
M06HL,Trial 20,0,quiet_foot,0,78,
M06HL,Trial 11,0,baseline_3,0,120,
M06HL,Trial 12,0.651376147,baseline_4,71,38,
M06HL,Trial 9,0.674418605,quiet_eye,58,28,
M06HL,Trial 10,0.194915254,noise_eye,23,95,
M06HL,Trial 4,0.966101695,noise_nose,114,4,
M06HL,Trial 3,0.461538462,quiet_nose,36,42,
M06HL,Trial 7,0.865546218,noise_milk,103,16,
M06HL,Trial 5,0.798165138,noise_dog,87,22,
M06HL,Trial 6,0.714285714,quiet_dog,80,32,
M06HL,Trial 8,0.713043478,quiet_milk,82,33,
,,,,,,
M07CR,Trial 1,0.516666667,baseline_1,62,58,
M07CR,Trial 2,0.843478261,baseline_2,97,18,
M07CR,Trial 3,0.975,quiet_stroller,117,3,
M07CR,Trial 4,0.606060606,noise_hand,60,39,
M07CR,Trial 5,0.6,quiet_hand,63,42,
M07CR,Trial 6,0.641304348,quiet_car,59,33,
M07CR,Trial 7,0.276595745,noise_foot,26,68,
M07CR,Trial 8,0.494949495,noise_stroller,49,50,
M07CR,Trial 9,0.525,noise_car,63,57,
M07CR,Trial 10,0.540816327,quiet_foot,53,45,
M07CR,Trial 11,0.325842697,baseline_3,29,60,
M07CR,Trial 12,0.575,baseline_4,69,51,
M07CR,Trial 13,0.78313253,quiet_eye,65,18,
M07CR,Trial 14,0.83,noise_eye,83,17,
M07CR,Trial 15,0.686956522,noise_nose,79,36,
M07CR,Trial 16,0,quiet_nose,0,22,
M07CR,Trial 17,1,noise_milk,120,0,
M07CR,Trial 18,0.787878788,noise_dog,78,21,
M07CR,Trial 19,0.563380282,quiet_dog,40,31,
M07CR,Trial 20,0.323529412,quiet_milk,33,69,
,,,,,,
M08SA,Trial 1,0.672897196,baseline_1,72,35,
M08SA,Trial 2,0.428571429,baseline_2,42,56,
M08SA,Trial 13,0.260869565,quiet_stroller,30,85,
M08SA,Trial 14,0.358490566,noise_hand,38,68,
M08SA,Trial 15,0.675438596,quiet_hand,77,37,
M08SA,Trial 16,0.556701031,quiet_car,54,43,
M08SA,Trial 17,0.487179487,noise_foot,57,60,
M08SA,Trial 18,0.50877193,noise_stroller,58,56,
M08SA,Trial 19,0.133928571,noise_car,15,97,
M08SA,Trial 20,0,quiet_foot,0,118,
M08SA,Trial 11,0.715789474,baseline_3,68,27,
M08SA,Trial 12,0.898305085,baseline_4,106,12,
M08SA,Trial 9,0.75,quiet_eye,87,29,
M08SA,Trial 10,0.291262136,noise_eye,30,73,
M08SA,Trial 4,0.6,noise_nose,66,44,
M08SA,Trial 3,0.256410256,quiet_nose,30,87,
M08SA,Trial 7,0.366071429,noise_milk,41,71,
M08SA,Trial 5,0.5,noise_dog,56,56,
M08SA,Trial 6,0.686956522,quiet_dog,79,36,
M08SA,Trial 8,0.714285714,quiet_milk,75,30,
,,,,,,
M12RO,Trial 1,0.854545455,baseline_1,94,16,
M12RO,Trial 2,0.761061947,baseline_2,86,27,
M12RO,Trial 3,0.69047619,quiet_stroller,29,13,
M12RO,Trial 4,0.896226415,noise_hand,95,11,
M12RO,Trial 5,0.358695652,quiet_hand,33,59,
M12RO,Trial 6,1,quiet_car,120,0,
M12RO,Trial 7,0,noise_foot,0,92,
M12RO,Trial 8,1,noise_stroller,120,0,
M12RO,Trial 9,1,noise_car,116,0,
M12RO,Trial 10,0,quiet_foot,0,80,
M12RO,Trial 11,0.827586207,baseline_3,96,20,
M12RO,Trial 12,0.923728814,baseline_4,109,9,
M12RO,Trial 13,0.324074074,quiet_eye,35,73,
M12RO,Trial 14,0.698412698,noise_eye,44,19,
M12RO,Trial 15,0.261261261,noise_nose,29,82,
M12RO,Trial 16,0.247787611,quiet_nose,28,85,
M12RO,Trial 17,0.719298246,noise_milk,82,32,
M12RO,Trial 18,1,noise_dog,120,0,
M12RO,Trial 19,0.557377049,quiet_dog,34,27,
M12RO,Trial 20,0.736363636,quiet_milk,81,29,
,,,,,,
M13CY,Trial 1,0.929824561,baseline_1,106,8,
M13CY,Trial 2,0.202702703,baseline_2,15,59,
M13CY,Trial 13,1,quiet_stroller,69,0,
M13CY,Trial 14,0.923913043,noise_hand,85,7,
M13CY,Trial 15,0.833333333,quiet_hand,25,5,
M13CY,Trial 16,0.390804598,quiet_car,34,53,
M13CY,Trial 17,1,noise_foot,92,0,
M13CY,Trial 18,0.988764045,noise_stroller,88,1,
M13CY,Trial 19,0.365853659,noise_car,30,52,
M13CY,Trial 20,0.896551724,quiet_foot,52,6,
M13CY,Trial 11,0,baseline_3,0,119,
M13CY,Trial 12,0.394736842,baseline_4,45,69,
M13CY,Trial 9,0,quiet_eye,0,5,DROPPED
M13CY,Trial 10,0.666666667,noise_eye,56,28,
M13CY,Trial 4,0.622222222,noise_nose,28,17,
M13CY,Trial 3,0.660714286,quiet_nose,37,19,
M13CY,Trial 7,0.734375,noise_milk,47,17,
M13CY,Trial 5,0.355140187,noise_dog,38,69,
M13CY,Trial 6,0.221238938,quiet_dog,25,88,
M13CY,Trial 8,1,quiet_milk,24,0,
,,,,,,
M15OW,Trial 1,0.94017094,baseline_1,110,7,
M15OW,Trial 2,0.991525424,baseline_2,117,1,
M15OW,Trial 14,0.495495495,quiet_stroller,55,56,
M15OW,Trial 16,0.5,noise_hand,37,37,
M15OW,Trial 20,0.703296703,quiet_hand,64,27,
M15OW,Trial 19,0.903846154,quiet_car,94,10,
M15OW,Trial 18,0.372727273,noise_foot,41,69,
M15OW,Trial 17,0.806451613,noise_stroller,75,18,
M15OW,Trial 13,0.389830508,noise_car,46,72,
M15OW,Trial 15,0.53030303,quiet_foot,35,31,
M15OW,Trial 11,0.12173913,baseline_3,14,101,
M15OW,Trial 12,0,baseline_4,0,89,
M15OW,Trial 3,0.471910112,quiet_eye,42,47,
M15OW,Trial 4,0.686956522,noise_eye,79,36,
M15OW,Trial 5,0.358695652,noise_nose,33,59,
M15OW,Trial 6,0.342465753,quiet_nose,25,48,
M15OW,Trial 7,0.371134021,noise_milk,36,61,
M15OW,Trial 8,0.961165049,noise_dog,99,4,
M15OW,Trial 9,0.44047619,quiet_dog,37,47,
M15OW,Trial 10,1,quiet_milk,75,0,
,,,,,,
M17EW,Trial 1,0.345679012,baseline_1,28,53,
M17EW,Trial 2,0.392857143,baseline_2,11,17,
M17EW,Trial 4,0.597938144,quiet_stroller,58,39,
M17EW,Trial 6,0.555555556,noise_hand,30,24,
M17EW,Trial 10,1,quiet_hand,14,0,DROPPED
M17EW,Trial 9,0.458333333,quiet_car,22,26,
M17EW,Trial 8,0.769230769,noise_foot,50,15,
M17EW,Trial 7,0.666666667,noise_stroller,36,18,
M17EW,Trial 3,0.787037037,noise_car,85,23,
M17EW,Trial 5,0.488372093,quiet_foot,42,44,
M17EW,Trial 11,0.607843137,baseline_3,62,40,
M17EW,Trial 12,0.275,baseline_4,22,58,
M17EW,Trial 19,0.833333333,quiet_eye,35,7,
M17EW,Trial 20,0.692307692,noise_eye,18,8,
M17EW,Trial 14,0.739130435,noise_nose,17,6,
M17EW,Trial 13,0.666666667,quiet_nose,10,5,
M17EW,Trial 17,NaN,noise_milk,0,0,DROPPED
M17EW,Trial 15,0.444444444,noise_dog,32,40,
M17EW,Trial 16,0.588235294,quiet_dog,10,7,
M17EW,Trial 18,0.589285714,quiet_milk,33,23,
,,,,,,
M20NS,Trial 1,0.609090909,baseline_1,67,43,
M20NS,Trial 2,0.666666667,baseline_2,24,12,
M20NS,Trial 14,0.672413793,quiet_stroller,39,19,
M20NS,Trial 16,0.360655738,noise_hand,22,39,
M20NS,Trial 20,0.212765957,quiet_hand,10,37,
M20NS,Trial 19,0.768115942,quiet_car,53,16,
M20NS,Trial 18,0.55,noise_foot,11,9,
M20NS,Trial 17,0.034482759,noise_stroller,2,56,
M20NS,Trial 13,0.407407407,noise_car,11,16,
M20NS,Trial 15,0.263157895,quiet_foot,20,56,
M20NS,Trial 11,0.823529412,baseline_3,56,12,
M20NS,Trial 12,0.742424242,baseline_4,49,17,
M20NS,Trial 3,0.512195122,quiet_eye,42,40,
