participant,age,spanish exposure,tv,books,littlears,parent ed,income,,
M01EB,9.966666667,0,0,5,23,17,">$75,000",,
M02SM,10,0,1,12,22,17,">$75,000",,
M03CW,21.9,0,0,12,35,18.5,">$75,000",,
M04LM,8.8,0,1,4,16,16,">$75,000",,
M05ES,8.933333333,0,4,3,20,18,">$75,000",,
M06HL,9.6,0,3,7,23,16,">$75,000",,
M08SA,8.766666667,0,1,10,18,13,"$25,000-$35,000",,
M11BLP,9.533333333,0,2,7,NA,18,">$75,000",,
M12RO,8.833333333,0,3,10,16,16,">$75,000",,
M13CY,9.2,0,2,20,32,18.5,">$75,000",,
M15OW,10.23333333,0,4,20,32,16,">$75,000",,
M16SL,8.433333333,0,2,20,25,16,">$75,000",,
M20NS,19.9,0,2,4,19,17,">$75,000",,
M21SB,9.4,0,2,14,22,17,"$65,000-$75,000",,
M22AS,9.033333333,0,3,4,NA,13,"$45,000-$55,000",,
M23AK,11.66666667,0,1,25,20,21,">$75,000",,
M24JB,14.2,0,5,10,22,15,">$75,000",,
M25AJ,13.43333333,0,3,5,22,16,">$75,000",,
M26JJ,13.43333333,0,3,4,24,16,">$75,000",,
M27ZD,8.233333333,0,2,6,20,19.5,">$75,000",,
M28PR,15.3,0,3,6,25,17,">$75,000",,
M30PM,19.56666667,0,3,10,35,17,">$75,000",,
M35KR,9,0,2,5,18,12,"<$15,000",,
M40CW,9.166666667,0,2,3,14,15,">$75,000",,
M41GG,13.63333333,0,3,15,31,21,">$75,000",,
M42RM,13,0,1,7,24,17,"$35,000-$45,000",,
M43EW,24.1,0,,,,16,,,
M44GW,20.93333333,0,1,84,28,16,">$75,000",,
M45DA,11.53333333,0,2,7,19,16,">$75,000",,
M46CC,15.06666667,0,1,25,23,17,">$75,000",,
M47JJ,11.96666667,0,5,15,18,18.5,">$75,000",,
M48DZ,20.9,0,2,10,35,17,">$75,000",,
B01AM,9.366666667,42,2,3,,16,"$65,000-$75,000",,
B02JP,9.966666667,45,3,2,28,13,"$65,000-$75,000",,
B03BS,9.033333333,84,2,1,44,14,"$55,000-$65,000",,
B04DR,8.2,85,,,NA,14,"$15,000-$25,000",,
B05ET,8.566666667,28,1,12,29,14,"<$15,000",,
B06JR,8.933333333,42,,,NA,14,"<$15,000",,
B08RJ,18.1,51,2,10,34,12,"$35,000-$45,000",,
B09AW,18.33333333,42,3,2,32,13,"$15,000-$25,000",,
B10KG,13.76666667,33,4,2,NA,14,"$25,000-$35,000",,
B15NC,12.4,95,1,5,38,15,"<$15,000",,
B16LR,13,81,2,2,NA,12,"$25,000-$35,000",,
B17YT,19.3,,,,,,,,
B18LS,15.5,83,3,30,,12,"$45,000-$55,000",,
B19CB,9.5,62,3,6,49,15,"$15,000-$25,000",,
B20AP,18.63333333,99,2,4,34,13,"$35,000-$45,000",,
B21HM,9.566666667,78,1,14,NA,13,"<$15,000",,
B22JR,16.86666667,48,2,15,24,14,"$45,000-$55,000",,
B23RF,23,18,,,,,,,
B24EBR,15.16666667,42,3,17.5,NA,13,"$15,000-$25,000",,
B26GB,14.26666667,100,3,0,47,12,"$15,000-$25,000",,
B27KDS,12.66666667,99,0,3,42,12,"$25,000-$35,000",,
B28APF,22.1,93,1,3,36,12,"$15,000-$25,000",,
B29NRP,12.03333333,70,,,,,,,
B30MR,26.6,39,3,2,42,9,"<$15,000",,
B31ZR,17.23333333,,,,,,,,
B32NF,12.56666667,43,1,5,26,15,">$75,000",,
B33KLH,10.83333333,94,1,3,40,14,"$25,000-$35,000",,
B34ES,10.76666667,NA,1,20,19,15,"$55,000-$65,000",,
M01EB_V2,18.63333333,0,2,30,34,17,">$75,000",,
M02SM_V2,17.53333333,0,3,15,25,17,">$75,000",,
M04LM_V2,17.7,0,1,10,33,16,">$75,000",,
M08SA_V2,18.93333333,0,2,20,30,13,"$25,000-$35,000",,
M12RO_V2,18.5,0,3,20,NA,16,">$75,000",,
M13CY_V2,19.3,0,2,20,32,18.5,">$75,000",,
M15OW_V2,19,0,4,20,32,16,">$75,000",,
M17EW_V2,18,0,2,50,35,13,"$65,000-$75,000",,
M20NS_V2,19.9,0,2,10,32,17,">$75,000",,
M21SB_V2,19.5,0,2,17,34,17,">$75,000",,
M22AS_V2,17.93333333,0,3,4,NA,13,"$45,000-$55,000",,
M23AK_V2,19.56666667,0,1,50,34,21,">$75,000",,
M24JB_V2,18.63333333,0,4,8,24,15,">$75,000",,
M27ZD_V2,17.7,0,2,40,34,19.5,">$75,000",,
M28PR_V2,19.63333333,0,4,10,33,17,"$65,000-$75,000",,
M37JD_V2,17.7069,0,1,35,20,16,">$75,000",,
B05ET_V2,17.33333333,28,1,12,29,14,"<$15,000",,
B11ARF_V2,17.8,87,2,0,58,6,"$15,000-$25,000",,
B12KRM_V2,26.66666667,60,1,4,5,12,"$15,000-$25,000",,
