Participant,Visit 1,,,,,,,,,Visit 2,,,,,,,,
,SNR STC:TV,,,SNR STC:TV+NON,,,SNR STC:OLN,,,SNR STC:TV,,,SNR STC:TV+NON,,,SNR STC:OLN,,
,Hour 1,Hour 2,Average,Hour 1,Hour 2,Average,Hour 1,Hour 2,Average,Hour 1,Hour 2,Average,Hour 1,Hour 2,Average,Hour 1,Hour 2,Average
M01EB,2.819382676,11.39409676,7.106739718,-6.208083312,10.06783078,1.929873734,-3.739043141,-2.816277178,-3.27766016,10.95,12.84064,11.89532,7.721052,7.319103,7.5200775,0.589782,0.584171,0.5869765
M02SM,12.44702913,none/error,12.44702913,-4.6490554,-8.20417,-6.4266127,-5.825281842,-3.72007,-4.772675921,6.358371012,10.11106899,8.234720001,-6.882469609,-6.142523305,-6.512496457,-7.772565748,-5.941820278,-6.857193013
M04LM,18.21892108,1.095969952,9.657445516,17.70758779,2.219569286,9.963578538,-0.676835231,-0.2118,-0.444317616,16.77917956,13.22779195,15.00348576,6.471133494,0.210223832,3.340678663,0.483008116,-1.792237211,-0.654614548
M06HL,12.25022442,11.1518178,11.70102111,11.33621516,18.03619183,14.6862035,-2.028799442,4.593264432,1.282232495,18.38804,13.72846,16.05825,7.26882,-2.91081,2.179005,2.657909,-1.84614,0.4058845
M07CR,9.690524,11.00998,10.350252,-6.85474,6.515243,-0.1697485,-5.23021,-4.65006,-4.940135,13.97061001,6.832748555,10.40167928,7.543374154,1.577664437,4.560519296,-4.03468964,-0.694935903,-2.364812772
M11BLP,3.439235,6.140531,4.789883,3.456912,7.398197,5.4275545,-0.25081,6.097092,2.923141,,,,,,,,,
M12RO,-1.999496151,18.70189323,8.35119854,-2.291775569,12.79732671,5.252775571,-9.864352124,-2.098513418,-5.981432771,,,,,,,,,
M13CY,12.84205852,4.280755232,8.561406876,7.083837672,4.248015532,5.665926602,-2.493298879,-2.097950458,-2.295624669,9.203585,7.700992,8.4522885,6.94426,7.363062,7.153661,-0.63732,-3.29925,-1.968285
M14VL,-2.211914165,-1.809704178,-2.010809172,-2.014894711,-1.622566065,-1.818730388,0.583369438,-1.643155624,-0.529893093,,,,,,,,,
M15OW,12.33420506,13.35911402,12.84665954,5.403906518,10.03323276,7.718569639,-0.397155494,1.93354736,0.768195933,16.74615,9.910322,13.328236,16.74615,0.816953,8.7815515,7.31066,0.06504,3.68785
M16SL,20.04402285,5.255074581,12.64954872,12.98967013,3.56386359,8.27676686,-2.872364025,1.016157904,-0.928103061,,,,,,,,,
M17EW,13.74311172,3.770848865,8.756980293,12.39851089,5.547270355,8.972890623,-2.422033806,-3.922077823,-3.172055815,14.09521,11.29044,12.692825,4.597138,3.991205,4.2941715,-2.09638,-1.16339,-1.629885
M18GB,15.73752833,14.26693,15.00222917,11.040728,7.503998883,9.272363442,2.412814585,2.565030256,2.488922421,,,,,,,,,
M19LB,12.01330079,6.855176991,9.434238891,7.660290256,6.849468419,7.254879338,1.520379601,-2.802752408,-0.641186404,,,,,,,,,
M20NS,6.996836,11.87116,9.433998,10.06527,1.350593,5.7079315,-5.67374,-3.85015,-4.761945,,,,,,,,,
M21SB,11.25643,15.51996,13.388195,2.535263,2.878155,2.706709,-0.95468,-2.2215,-1.58809,,,,,,,,,
M22AS,17.36435,16.65597,17.01016,17.22328,-0.84333,8.189975,-0.88784,-2.4112,-1.64952,,,,,,,,,
M23AK,x,1.264118,x,x,1.08685,x,x,-1.47218,x,,,,,,,,,
M25AJ,15.19736,9.706411,12.4518855,3.201228,0.363404,1.782316,1.60028,0.347074,0.973677,,,,,,,,,
M26JJ,10.79069,13.3775,12.084095,8.501573,3.176548,5.8390605,3.169892,2.24307,2.706481,,,,,,,,,
B02JP,1.735022,-6.36569,-2.315334,1.485162,-6.33379,-2.424314,-2.35772,-6.95686,-4.65729,,,,,,,,,
B03BS,-1.14264,13.5402,6.19878,-0.92739,7.661937,3.3672735,-3.63835,-5.40968,-4.524015,,,,,,,,,
B05ET,10.70461184,16.27873165,13.49167175,10.78416294,-1.962018,4.41107247,-2.142228293,-2.232019851,-2.187124072,12.39907,-2.4223983,4.98833585,3.949353,-2.33358573,0.807883635,-0.952733424,1.855767584,0.45151708
B08RS,11.23695,14.3211,12.779025,5.580242,10.95777,8.269006,-2.96773,-4.85385,-3.91079,,,,,,,,,
